number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
12,100,300,0.7,1,close,5,4,4,4,4,4,20,30,5,0.588201769632695,0.505575418351187,0.558166736689652,0.553386506170211,0.574904952770353,2.06253712167727,2.45855523187147,1.75293336945838,2.45484824592977,2.53868105299029,26.1314094032186
12,100,300,0.7,1,close,5,4,4,4,4,4,20,31,5,0.551410124450729,0.502648463689243,0.548220949327969,0.512344310979701,0.507153230315891,1.78837062042874,2.39262257256576,1.61770797783974,2.26170515399381,2.12184021442517,23.542864130895
12,100,300,0.7,1,close,5,4,4,4,4,4,20,32,5,0.47132000764807,0.465648193100115,0.499171018618888,0.484074065039687,0.426459067023546,1.25965914062033,1.80027560615244,1.51290435972484,2.00492980270566,1.52973733771262,20.693443750587
12,100,300,0.7,1,close,5,4,4,4,4,4,20,33,5,0.443574345400674,0.447949452780087,0.454906284626578,0.4476936034277,0.36879426392839,1.19385525750212,1.70679819022782,1.31761707532934,1.64553051592753,1.07527222862615,18.3515616343837
12,100,300,0.7,1,close,5,4,4,4,4,4,20,34,5,0.421251579144576,0.433110968662848,0.407097168484287,0.407357269299162,0.396004652134003,1.20185914660244,1.61039168935816,1.13790389200488,1.28037758338486,1.09607675259881,16.0923147574131
12,100,300,0.7,1,close,5,4,4,4,4,4,20,35,5,0.411746607986588,0.390310695552109,0.379749982028129,0.364009134562716,0.371926005581676,1.18793393441777,1.40255105030007,1.12528298184779,1.08707294124605,0.981059190224824,14.1594921986297
12,100,300,0.7,1,close,5,4,4,4,4,4,20,36,5,0.379678521006372,0.322439257435959,0.361774504364708,0.332188584121056,0.33790601649142,1.01516230739899,0.959035394283816,1.04249737717593,0.927425928184827,0.871359927317217,12.5999943924482
12,100,300,0.7,1,close,5,4,4,4,4,4,20,37,5,0.312502869544041,0.29505943915653,0.365342979838809,0.314011299873787,0.328984206660083,0.822396278454265,0.838123318455722,0.943459010499698,0.882268921017178,0.803465191114488,10.8957959055531
12,100,300,0.7,1,close,5,4,4,4,4,4,20,38,5,0.300397147216645,0.278999009506958,0.32315173132536,0.296709544607413,0.297315307411388,0.795859437301277,0.794694519499759,0.795992395943385,0.788937456432094,0.756899138676531,9.25537211134658
12,100,300,0.7,1,close,5,4,4,4,4,4,20,39,5,0.26799660061813,0.271277486534425,0.279586035389561,0.271372561827678,0.284299273974553,0.677515130977447,0.798272241995469,0.698368997366091,0.733376919257551,0.750546495567982,7.80115874977972
12,100,300,0.7,1,close,5,4,4,4,4,4,20,40,5,0.243086855334421,0.269729173438907,0.265064757486651,0.25989194140969,0.284542674165392,0.635284560603459,0.769680527608637,0.631637623881224,0.706273884283141,0.702760874727794,6.54718620079457
