number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,s1_selected,s2_selected,s3_selected,no_selected,cv_lambda,vselec_method,s1_prop,s2_prop,s3_prop
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,23,0.040501639441524254,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.05151244429388445,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,31,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,22,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,35,0.015477983667424536,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,34,0.025037645931273767,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,37,0.01816940702282152,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,35,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,48,0.003961778952150325,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,38,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,15,0.05581171178009766,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,19,0.06046979937611887,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,27,0.040501639441524254,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,42,0.019685839448573526,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,28,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,44,0.006408691260650363,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.027127306760985605,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,50,0.004650681630293014,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,48,0.008150962679858665,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,31,0.023108955094702267,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,44,0.008150962679858665,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,55,0.0022604658271317864,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,27,0.029391372260977485,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,26,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,30,0.03450215590373633,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,38,0.016769787868247475,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,12,0.06551665447917689,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,24,0.04754435641726351,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,33,0.03184439837668466,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,20,0.040501639441524254,Lasso,1,1,1
2,100,100,0.3,1,close,5,4,4,4,4,4,20,5,20,20,36,0.02132883446929541,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,84,6.394445857865423e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,95,1.3942877155284317e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,47,0.029391372260977485,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,50,0.03450215590373633,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,94,3.3674211490178245e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,19,20,86,3.3674211490178245e-14,Lasso,1,0.95,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,109,1.0118116167907339e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.5238597246223045e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,38,0.055811711780097646,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,70,0.008150962679858665,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,93,3.1080231876114186e-14,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,100,9.338701122660063e-15,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,40,0.040501639441524254,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,155,5.523859724622305e-17,Lasso,1,1,1
3,100,200,0.3,1,close,5,4,4,4,4,4,20,5,20,20,140,1.2588003452053502e-15,Lasso,1,1,1
